"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2019年4月20日","5,340.04","5,314.10","5,375.60","5,289.20","6.48K","0.49%"
"2019年4月19日","5,314.00","5,310.80","5,371.10","5,225.00","6.31K","0.06%"
"2019年4月18日","5,310.80","5,254.50","5,339.31","5,254.00","9.04K","1.07%"
"2019年4月17日","5,254.50","5,234.30","5,291.10","5,224.70","9.28K","0.39%"
"2019年4月16日","5,234.30","5,042.79","5,256.20","5,030.00","8.38K","3.67%"
"2019年4月15日","5,049.23","5,190.10","5,217.06","5,000.66","9.52K","-2.79%"
"2019年4月14日","5,194.30","5,103.70","5,209.00","5,064.20","4.15K","1.81%"
"2019年4月13日","5,101.80","5,114.10","5,160.80","5,075.30","5.21K","-0.24%"
"2019年4月12日","5,114.00","5,059.00","5,134.90","4,935.20","9.22K","0.95%"
"2019年4月11日","5,065.80","5,315.50","5,340.00","5,001.10","19.39K","-4.63%"
"2019年4月10日","5,311.70","5,213.00","5,487.40","5,200.50","15.78K","1.83%"
"2019年4月9日","5,216.30","5,312.40","5,312.50","5,173.50","11.90K","-1.81%"
"2019年4月8日","5,312.50","5,238.90","5,361.70","5,148.50","17.82K","1.42%"
"2019年4月7日","5,238.10","5,091.10","5,313.10","5,075.00","9.95K","2.90%"
"2019年4月6日","5,090.50","5,080.40","5,280.00","4,968.10","14.20K","0.20%"
"2019年4月5日","5,080.40","4,939.30","5,130.00","4,930.10","11.36K","2.87%"
"2019年4月4日","4,938.90","4,976.90","5,099.90","4,834.00","15.42K","-0.79%"
"2019年4月3日","4,978.00","4,929.30","5,330.10","4,849.10","44.28K","1.03%"
"2019年4月2日","4,927.10","4,196.90","5,079.40","4,189.70","54.14K","17.40%"
"2019年4月1日","4,196.80","4,167.50","4,220.80","4,127.20","7.01K","0.70%"
"2019年3月31日","4,167.60","4,165.10","4,181.40","4,153.10","2.27K","0.06%"
"2019年3月30日","4,165.10","4,179.10","4,210.00","4,117.25","6.63K","-0.33%"
"2019年3月29日","4,179.00","4,092.57","4,188.00","4,084.70","8.65K","2.11%"
"2019年3月28日","4,092.57","4,102.68","4,103.98","4,066.40","6.22K","-0.24%"
